Value Set ID	Refset ID	Title	Description	Update Type
canshare-tnm8-thoracic-lung-ct	297351000210108	NZ AJCC 8th thoracic lung clinical T category reference set	A clinical tumour stage (cT) of a lung tumour before initiation of treatment, using the AJCC cancer staging manual (8th edition).	To be created
canshare-tnm-thoracic-lung-ct	297351000210108	NZ AJCC thoracic lung clinical T category reference set	A clinical tumour stage (cT) of a lung tumour before initiation of treatment, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm8-thoracic-pleural-ct	297361000210106	NZ AJCC 8th thoracic malignant pleural mesothelioma clinical T category reference set	A clinical tumour stage (cT) of a malignant pleural mesothelioma tumour before initiation of treatment, using the AJCC cancer staging manual (8th edition).	To be created
canshare-tnm-thoracic-pleural-ct	297361000210106	NZ AJCC thoracic malignant pleural mesothelioma clinical T category reference set	A clinical tumour stage (cT) of a malignant pleural mesothelioma tumour before initiation of treatment, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm-pt	253461000210101	NZ AJCC pathological T category reference set	A pathological tumour stage (pT) of a tumour, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm-breast-pt	253511000210104	NZ AJCC breast pathological T category reference set	A pathological tumour stage (pT) of a breast tumour, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm-haematology-pt	253521000210109	NZ AJCC haematology pathological T category reference set	A pathological tumour stage (pT) of a haematologic cancer, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm-haematology-mf-or-ss-pt	253591000210107	NZ AJCC haematology mycosis fungoides or sezary syndrome pathological T category reference set	A pathological tumour stage (pT) of a mycosis fungoides or sezary syndrome cutaneous lymphoma, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm-haematology-non-mf-or-ss-pt	253601000210102	NZ AJCC haematology primary cutaneous B-cell or T-cell (non-MF/SS) lymphoma pathological T category reference set	A pathological tumour stage (pT) of a cutaneous B-cell or T-cell lymphoma (non-mycosis fungoides and non-sezary syndrome), using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm8-thoracic-pt	297291000210108	NZ AJCC 8th thoracic pathological T category reference set	A pathological tumour stage (pT) of a thoracic tumour, using the AJCC cancer staging manual (8th edition).	To be created
canshare-tnm-thoracic-pt	297291000210108	NZ AJCC thoracic pathological T category reference set	A pathological tumour stage (pT) of a thoracic tumour, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm8-thoracic-thymus-pt	297371000210100	NZ AJCC 8th thoracic thymus pathological T category reference set	A pathological tumour stage (pT) of a thymus tumour, using the AJCC cancer staging manual (8th edition).	To be created
canshare-tnm-thoracic-thymus-pt	297371000210100	NZ AJCC thoracic thymus pathological T category reference set	A pathological tumour stage (pT) of a thymus tumour, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm8-thoracic-lung-pt	297381000210103	NZ AJCC 8th thoracic lung pathological T category reference set	A pathological tumour stage (pT) of a lung tumour, using the AJCC cancer staging manual (8th edition).	To be created
canshare-tnm-thoracic-lung-pt	297381000210103	NZ AJCC thoracic lung pathological T category reference set	A pathological tumour stage (pT) of a lung tumour, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm8-thoracic-pleural-pt	297391000210101	NZ AJCC 8th thoracic malignant pleural mesothelioma pathological T category reference set	A pathological tumour stage (pT) of a malignant pleural mesothelioma tumour, using the AJCC cancer staging manual (8th edition).	To be created
canshare-tnm-thoracic-pleural-pt	297391000210101	NZ AJCC thoracic malignant pleural mesothelioma pathological T category reference set	A pathological tumour stage (pT) of a malignant pleural mesothelioma tumour, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm-cn	253471000210107	NZ AJCC clinical N category reference set	A clinical regional lymph node stage (cN) before initiation of treatment, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm-breast-cn	253531000210106	NZ AJCC breast clinical N category reference set	A clinical regional lymph node stage (cN) of a breast tumour before initiation of treatment, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm-haematology-cn	253541000210103	NZ AJCC haematology clinical N category reference set	A clinical regional lymph node stage (cN) of a haematologic cancer before initiation of treatment, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm-haematology-mf-or-ss-cn	253611000210100	NZ AJCC haematology mycosis fungoides or sezary syndrome clinical N category reference set	A clinical regional lymph node stage (cN) of a mycosis fungoides or sezary syndrome cutaneous lymphoma before initiation of treatment, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm-haematology-non-mf-or-ss-cn	253621000210105	NZ AJCC haematology primary cutaneous B-cell or T-cell (non-MF/SS) lymphoma clinical N category reference set	A clinical regional lymph node stage (cN) of a cutaneous B-cell or T-cell lymphoma (non-mycosis fungoides and non-sezary syndrome) before initiation of treatment, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm8-thoracic-cn	297301000210107	NZ AJCC 8th thoracic clinical N category reference set	A clinical regional lymph node stage (cN) of a thoracic tumour before initiation of treatment, using the AJCC cancer staging manual (8th edition).	To be created
canshare-tnm-thoracic-cn	297301000210107	NZ AJCC thoracic clinical N category reference set	A clinical regional lymph node stage (cN) of a thoracic tumour before initiation of treatment, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm8-thoracic-thymus-cn	297401000210103	NZ AJCC 8th thoracic thymus clinical N category reference set	A clinical regional lymph node stage (cN) of a thymus tumour before initiation of treatment, using the AJCC cancer staging manual (8th edition).	To be created
canshare-tnm-thoracic-thymus-cn	297401000210103	NZ AJCC thoracic thymus clinical N category reference set	A clinical regional lymph node stage (cN) of a thymus tumour before initiation of treatment, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm8-thoracic-lung-cn	297411000210101	NZ AJCC 8th thoracic lung clinical N category reference set	A clinical regional lymph node stage (cN) of a lung tumour before initiation of treatment, using the AJCC cancer staging manual (8th edition).	To be created
canshare-tnm-thoracic-lung-cn	297411000210101	NZ AJCC thoracic lung clinical N category reference set	A clinical regional lymph node stage (cN) of a lung tumour before initiation of treatment, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm8-thoracic-pleural-cn	297421000210106	NZ AJCC 8th thoracic malignant pleural mesothelioma clinical N category reference set	A clinical regional lymph node stage (cN) of a malignant pleural mesothelioma tumour before initiation of treatment, using the AJCC cancer staging manual (8th edition).	To be created
canshare-tnm-thoracic-pleural-cn	297421000210106	NZ AJCC thoracic malignant pleural mesothelioma clinical N category reference set	A clinical regional lymph node stage (cN) of a malignant pleural mesothelioma tumour before initiation of treatment, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm-pn	253481000210109	NZ AJCC pathological N category reference set	A pathological regional lymph node stage (pN), using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm-breast-pn	253551000210100	NZ AJCC breast pathological N category reference set	A pathological regional lymph node stage (pN) of a breast tumour, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm-haematology-pn	253561000210102	NZ AJCC haematology pathological N category reference set	A pathological regional lymph node stage (pN) of a haematologic cancer, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm-haematology-mf-or-ss-pn	253631000210107	NZ AJCC haematology mycosis fungoides or sezary syndrome pathological N category reference set	A pathological regional lymph node stage (pN) of a mycosis fungoides or sezary syndrome cutaneous lymphoma, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm-haematology-non-mf-or-ss-pn	253641000210104	NZ AJCC haematology primary cutaneous B-cell or T-cell (non-MF/SS) lymphoma pathological N category reference set	A pathological regional lymph node stage (pN) of a cutaneous B-cell or T-cell lymphoma (non-mycosis fungoides and non-sezary syndrome), using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm8-thoracic-pn	297431000210108	NZ AJCC 8th thoracic pathological N category reference set	A pathological regional lymph node stage (pN) of a thoracic tumour, using the AJCC cancer staging manual (8th edition).	To be created
canshare-tnm-thoracic-pn	297431000210108	NZ AJCC thoracic pathological N category reference set	A pathological regional lymph node stage (pN) of a thoracic tumour, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm8-thoracic-thymus-pn	297461000210104	NZ AJCC 8th thoracic thymus pathological N category reference set	A pathological regional lymph node stage (pN) of a thymus tumour, using the AJCC cancer staging manual (8th edition).	To be created
canshare-tnm-thoracic-thymus-pn	297461000210104	NZ AJCC thoracic thymus pathological N category reference set	A pathological regional lymph node stage (pN) of a thymus tumour, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm8-thoracic-lung-pn	297471000210105	NZ AJCC 8th thoracic lung pathological N category reference set	A pathological regional lymph node stage (pN) of a lung tumour, using the AJCC cancer staging manual (8th edition).	To be created
canshare-tnm-thoracic-lung-pn	297471000210105	NZ AJCC thoracic lung pathological N category reference set	A pathological regional lymph node stage (pN) of a lung tumour, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm8-thoracic-pleural-pn	297481000210107	NZ AJCC 8th thoracic malignant pleural mesothelioma pathological N category reference set	A pathological regional lymph node stage (pN) of a malignant pleural mesothelioma tumour, using the AJCC cancer staging manual (8th edition).	To be created
canshare-tnm-thoracic-pleural-pn	297481000210107	NZ AJCC thoracic malignant pleural mesothelioma pathological N category reference set	A pathological regional lymph node stage (pN) of a malignant pleural mesothelioma tumour, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm-cm	253651000210101	NZ AJCC clinical M category reference set	A clinical distant metastasis stage (cM) before initiation of treatment, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm-breast-cm	253701000210108	NZ AJCC breast clinical M category reference set	A clinical distant metastasis stage (cM) of a breast tumour before initiation of treatment, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm-haematology-cm	253711000210105	NZ AJCC haematology clinical M category reference set	A clinical distant metastasis stage (cM) of a haematologic cancer before initiation of treatment, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm-haematology-mf-or-ss-cm	253821000210106	NZ AJCC haematology mycosis fungoides or sezary syndrome clinical M category reference set	A clinical distant metastasis stage (cM) of a mycosis fungoides or sezary syndrome cutaneous lymphoma before initiation of treatment, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm-haematology-non-mf-or-ss-cm	253831000210108	NZ AJCC haematology primary cutaneous B-cell or T-cell (non-MF/SS) lymphoma clinical M category reference set	A clinical distant metastasis stage (cM) of a cutaneous B-cell or T-cell lymphoma (non-mycosis fungoides and non-sezary syndrome) before initiation of treatment, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm8-thoracic-cm	297441000210100	NZ AJCC 8th thoracic clinical M category reference set	A clinical distant metastasis stage (cM) of a thoracic tumour before initiation of treatment, using the AJCC cancer staging manual (8th edition).	To be created
canshare-tnm-thoracic-cm	297441000210100	NZ AJCC thoracic clinical M category reference set	A clinical distant metastasis stage (cM) of a thoracic tumour before initiation of treatment, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm8-thoracic-thymus-cm	297491000210109	NZ AJCC 8th thoracic thymus clinical M category reference set	A clinical distant metastasis stage (cM) of a thymus tumour before initiation of treatment, using the AJCC cancer staging manual (8th edition).	To be created
canshare-tnm-thoracic-thymus-cm	297491000210109	NZ AJCC thoracic thymus clinical M category reference set	A clinical distant metastasis stage (cM) of a thymus tumour before initiation of treatment, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm8-thoracic-lung-cm	297501000210104	NZ AJCC 8th thoracic lung clinical M category reference set	A clinical distant metastasis stage (cM) of a lung tumour before initiation of treatment, using the AJCC cancer staging manual (8th edition).	To be created
canshare-tnm-thoracic-lung-cm	297501000210104	NZ AJCC thoracic lung clinical M category reference set	A clinical distant metastasis stage (cM) of a lung tumour before initiation of treatment, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm8-thoracic-pleural-cm	297511000210102	NZ AJCC 8th thoracic malignant pleural mesothelioma clinical M category reference set	A clinical distant metastasis stage (cM) of a malignant pleural mesothelioma tumour before initiation of treatment, using the AJCC cancer staging manual (8th edition).	To be created
canshare-tnm-thoracic-pleural-cm	297511000210102	NZ AJCC thoracic malignant pleural mesothelioma clinical M category reference set	A clinical distant metastasis stage (cM) of a malignant pleural mesothelioma tumour before initiation of treatment, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm-pm	253661000210103	NZ AJCC pathological M category reference set	A pathological distant metastasis stage (pM), using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm-breast-pm	253721000210100	NZ AJCC breast pathological M category reference set	A pathological distant metastasis stage (pM) of a breast tumour, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm-haematology-pm	253731000210103	NZ AJCC haematology pathological M category reference set	A pathological distant metastasis stage (pM) of a haematologic cancer, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm-haematology-mf-or-ss-pm	253841000210100	NZ AJCC haematology mycosis fungoides or sezary syndrome pathological M category reference set	A pathological distant metastasis stage (pM) of a mycosis fungoides or sezary syndrome cutaneous lymphoma, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm-haematology-non-mf-or-ss-pm	253851000210102	NZ AJCC haematology cutaneous B cell or T cell non-mycosis fungoides and non-sezary syndrome lymphoma pathological M category reference set	A pathological distant metastasis stage (pM) of a cutaneous B-cell or T-cell lymphoma (non-mycosis fungoides and non-sezary syndrome), using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm8-thoracic-pm	297451000210102	NZ AJCC 8th thoracic pathological M category reference set	A pathological distant metastasis stage (pM) of a thoracic tumour, using the AJCC cancer staging manual (8th edition).	To be created
canshare-tnm-thoracic-pm	297451000210102	NZ AJCC thoracic pathological M category reference set	A pathological distant metastasis stage (pM) of a thoracic tumour, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm8-thoracic-thymus-pm	297521000210107	NZ AJCC 8th thoracic thymus pathological M category reference set	A pathological distant metastasis stage (pM) of a thymus tumour, using the AJCC cancer staging manual (8th edition).	To be created
canshare-tnm-thoracic-thymus-pm	297521000210107	NZ AJCC thoracic thymus pathological M category reference set	A pathological distant metastasis stage (pM) of a thymus tumour, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm8-thoracic-lung-pm	297531000210109	NZ AJCC 8th thoracic lung pathological M category reference set	A pathological distant metastasis stage (pM) of a lung tumour, using the AJCC cancer staging manual (8th edition).	To be created
canshare-tnm-thoracic-lung-pm	297531000210109	NZ AJCC thoracic lung pathological M category reference set	A pathological distant metastasis stage (pM) of a lung tumour, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm8-thoracic-pleural-pm	297541000210101	NZ AJCC 8th thoracic malignant pleural mesothelioma pathological M category reference set	A pathological distant metastasis stage (pM) of a malignant pleural mesothelioma tumour, using the AJCC cancer staging manual (8th edition).	To be created
canshare-tnm-thoracic-pleural-pm	297541000210101	NZ AJCC thoracic malignant pleural mesothelioma pathological M category reference set	A pathological distant metastasis stage (pM) of a malignant pleural mesothelioma tumour, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm-clinical-stage-group	253681000210106	NZ AJCC clinical stage group reference set	The clinical stage groups that describe how far a cancer has grown and spread before initiation of treatment, using AJCC cancer staging manual (latest edition).	To be created
canshare-tnm-breast-clinical-stage-group	253741000210106	NZ AJCC breast clinical stage group reference set	The clinical stage groups that describe how far a breast cancer has grown and spread before initiation of treatment, using AJCC cancer staging manual (latest edition).	To be created
canshare-tnm-pathological-stage-group	253691000210108	NZ AJCC pathological stage group reference set	The pathological stage groups that describe how far a cancer has grown and spread using information obtained from pathological examination of tissue samples, using AJCC cancer staging manual (latest edition).	To be created
canshare-tnm-breast-pathological-stage-group	253751000210109	NZ AJCC breast pathological stage group reference set	The pathological stage groups that describe how far a breast cancer has grown and spread using information obtained from pathological examination of tissue samples, using AJCC cancer staging manual (latest edition).	To be created
canshare-tnm-haematology-stage-group	263581000210104	NZ AJCC haematology stage group reference set	The stage groups that describe how far a haematologic cancer has grown and spread, using AJCC cancer staging manual (latest edition).	To be created
canshare-tnm-haematology-hl-or-nhl-stage-group	253761000210107	NZ AJCC haematology Hodgkin or non-Hodgkin lymphoma stage group reference set	The stage groups that describe how far a Hodgkin or non-Hodgkin lymphoma has grown and spread, using AJCC cancer staging manual (latest edition). 	To be created
canshare-tnm-haematology-cll-or-sll-stage-group	253771000210101	NZ AJCC haematology chronic lymphocytic leukemia or small lymphocytic lymphoma stage group reference set	The stage groups that describe how far a chronic lymphocytic lymphoma or a small lymphocytic lymphoma has grown and spread, using AJCC cancer staging manual (latest edition).	To be created
canshare-tnm-haematology-paed-hl-stage-group	253781000210104	NZ AJCC haematology pediatric Hodgkin lymphoma stage group reference set	The stage groups that describe how far a paediatric Hodgkin lymphoma has grown and spread, using AJCC cancer staging manual (latest edition).	To be created
canshare-tnm-haematology-paed-nhl-stage-group	253791000210102	NZ AJCC haematology pediatric non-Hodgkin lymphoma stage group reference set	The stage groups that describe how far a paediatric non-Hodgkin lymphoma has grown and spread, using AJCC cancer staging manual (latest edition). 	To be created
canshare-tnm-haematology-mf-or-ss-stage-group	253801000210103	NZ AJCC haematology mycosis fungoides or sezary syndrome stage group reference set	The stage groups that describe how far a mycosis fungoides or sezary syndrome has grown and spread, using AJCC cancer staging manual (latest edition).	To be created
canshare-tnm-haematology-pcm-stage-group	253811000210101	NZ AJCC haematology plasma cell myeloma stage group reference set	The stage groups that describe how far a plasma cell myeloma has grown and spread, using AJCC cancer staging manual (latest edition). 	To be created
canshare-tnm8-thoracic-stage-group	297271000210109	NZ AJCC 8th thoracic stage group reference set	The stage groups that describe how far a thoracic cancer has grown and spread, using AJCC cancer staging manual (8th edition).	To be created
canshare-tnm-thoracic-stage-group	297271000210109	NZ AJCC thoracic stage group reference set	The stage groups that describe how far a thoracic cancer has grown and spread, using AJCC cancer staging manual (latest edition).	To be created
canshare-tnm8-thoracic-thymus-stage-group	297311000210109	NZ AJCC 8th thoracic thymus stage group reference set	The stage group that describe how far a thymus cancer has grown and spread, using AJCC cancer staging manual (8th edition). 	To be created
canshare-tnm-thoracic-thymus-stage-group	297311000210109	NZ AJCC thoracic thymus stage group reference set	The stage groups that describe how far a thymus cancer has grown and spread, using AJCC cancer staging manual (latest edition). 	To be created
canshare-tnm8-thoracic-lung-stage-group	297321000210104	NZ AJCC 8th thoracic lung stage group reference set	The stage groups that describe how far a lung cancer has grown and spread, using AJCC cancer staging manual (8th edition). 	To be created
canshare-tnm-thoracic-lung-stage-group	297321000210104	NZ AJCC thoracic lung stage group reference set	The stage groups that describe how far a lung cancer has grown and spread, using AJCC cancer staging manual (latest edition). 	To be created
canshare-tnm8-thoracic-pleural-stage-group	297331000210102	NZ AJCC 8th thoracic malignant pleural mesothelioma stage group reference set	The stage groups that describe how far a malignant pleural mesothelioma cancer has grown and spread, using AJCC cancer staging manual (8th edition). 	To be created
canshare-tnm-thoracic-pleural-stage-group	297331000210102	NZ AJCC thoracic malignant pleural mesothelioma stage group reference set	The stage groups that describe how far a malignant pleural mesothelioma cancer has grown and spread, using AJCC cancer staging manual (latest edition). 	To be created
canshare-ann-arbor-lymphoma-stage	294731000210107	NZ cancer Ann Arbor lymphoma stage reference set	The stage groups for lymphoma, defined by Ann Arbor. 	To be created
canshare-german-hodgkin-stage	294741000210104	NZ cancer GHSG Hodgkin treatment stratification stage reference set	The stage groups for Hodgkin lymphoma, defined by German Hodgkin Study Group (GHSG). 	To be created
canshare-nk-t-cell-nhl-stage	294751000210101	NZ cancer NK/T-cell non-Hodgkin lymphoma treatment stratification stage reference set	The stage groups for NK-cell and T-cell non-Hodgkin lymphoma.	To be created
canshare-revised-multiple myeloma-stage	294761000210103	NZ cancer R-ISS for multiple myeloma stage reference set	The stage groups for multiple myeloma, defined by Revised International Staging System (R-ISS)	To be created
canshare-mayo-amyloidosis-stage	294771000210109	NZ cancer Mayo staging for AL (amyloidosis) stage reference set	The stage groups for amyloidosis, defined by Mayo.	To be created
canshare-revised-mayo-amyloidosis-stage	294781000210106	NZ cancer revised Mayo staging 2012 for AL (amyloidosis) stage reference set	The revised stage for amyloidosis, defined defined by Mayo.	To be created
canshare-rai-cll-stage	294791000210108	NZ cancer Rai staging for CLL stage reference set	The stage groups for chronic lymphocytic leukaemia, defined by Rai	To be created
canshare-binet-cll-stage	294801000210107	NZ cancer Binet staging for CLL stage reference set	The stage groups for chronic lymphocytic leukaemia, defined by Binet	To be created
canshare-tnm-b-lymphoma-stage	294811000210109	NZ cancer revised TNM-B staging for cutaneous T-cell lymphoma stage reference set	The revised stage groups for cutaneous T-cell lymphoma, defined by TNM-B category	To be created
canshare-eln-prognostic-score	294821000210104	NZ cancer ELN standardised reporting for genetic alteration in AML prognostic score reference set	The prognostic score for reporting genetic alteration in acute myeloid leukaemia, defined by European LeukemiaNet (ELN)	To be created
canshare-cns-status-prognostic score	294831000210102	NZ cancer CNS status in acute lymphoblastic leukaemia lymphoma prognostic score reference set	The prognostic score for reporting central nervous system (CNS) status in acute lymphoblastic lymphoma	To be created
canshare-ipss-r-prognostic-score	294841000210105	NZ cancer IPSS-R for MDS prognostic score reference set	The prognostic score for myelodysplastic syndrome, defined by Revised International Prognostic Scoring System (IPSS-R)	To be created
canshare-ipss-m-prognostic-score	294851000210108	NZ cancer IPSS-M for MDS prognostic score reference set	The prognostic score for myelodysplastic syndrome, defined by Molecular International Prognostic Scoring System (IPSS-M)	To be created
canshare-ips-thrombosis-et-prognostic-score	294861000210106	NZ cancer International Prognostic Score for thrombosis in ET prognostic score reference set	The prognostic score for thrombosis in essential thrombocythemia, defined by International Prognostic Score (IPS)	To be created
canshare-dipss-plus-prognostic-score	294871000210100	NZ cancer DIPSS+ for myelofibrosis prognostic score reference set	The prognostic score for myelofibrosis, defined by Dynamic International Prognostic Scoring System Plus (DIPSS+)	To be created
canshare-eutos-prognostic-score	294891000210101	NZ cancer EUTOS prognostic score for CML prognostic score reference set	The prognostic score for chronic myeloid leukaemia, defined by European Treatment and Outcome Study (EUTOS)	To be created
canshare-mipi-prognostic-score	294901000210100	NZ cancer MIPI prognostic score reference set	The prognostic score defined by Mantle Cell Lymphoma International Prognostic Score (MIPI)	To be created
canshare-flipi-prognostic-score	294911000210103	NZ cancer FLIPI prognostic score reference set	The prognostic score defined by Follicular Lymphoma International Prognostic Score (FLIPI)	To be created
canshare-ipi-prognostic-score	294921000210108	NZ cancer IPI prognostic score reference set	The prognostic score defined by International Prognostic Index (IPI)	To be created
canshare-bl-ipi-prognostic-score	294931000210105	NZ cancer BL-IPI prognostic score reference set	The prognostic score defined by Burkitt Lymphoma International Prognostic Index (BL-IPI)	To be created
canshare-sokal-prognostic-score	294941000210102	NZ cancer Sokal index for CML prognostic score reference set	The prognostic score for chronic myeloid leukaemia, defined by Sokal index	To be created
cansare-cns-ipi-prognostic-score	294951000210104	NZ cancer CNS-IPI for large B-cell lymphoma prognostic score reference set	The prognostic score for large B-cell lymphoma, defined by Central Nervous System International Prognostic Index (CSN-IPI)	To be created
canshare-ipsswm-prognostic-score	294961000210101	NZ cancer IPSS for Waldenstrom Macroglobulinemia prognostic score reference set	The prognostic score defined by International Scoring System for Waldenstrom Macroglobulinemia (IPSSWM)	To be created
canshare-ielsg-prognostic-score	294971000210107	NZ cancer IELSG (International Extranodal Lymphoma Study Group) prognostic score reference set	The prognostic score defined by International Extranodal Lymphoma Study Group (IELSG)	To be created
canshare-pit-prognostic-score	294981000210109	NZ cancer PIT prognostic score reference set	The prognostic score defined by Prognostic Index for T-cell Lymphoma (PIT)	To be created
canshare-hl-ips-prognostic-score	294881000210103	NZ cancer Hodgkin lymphoma International Prognostic Score reference set	The prognostic score defined by Hodgkin lymphoma International Prognostic Score (IPS)	To be created
canshare-sact-mo-disease-response	297781000210102	NZ SACT medical oncology disease response reference set	Types of responses to a medical oncology systemic anti-cancer therapy (SACT) treatment.	To be created
canshare-sact-aml-disease-response	297791000210100	NZ SACT acute myeloid leukemia disease response reference set	Types of responses to an acute myeloid leukaemia systemic anti-cancer therapy (SACT) treament.	To be created
canshare-sact-myeloma-disease-response	297801000210101	NZ SACT myleoma disease response reference set	Types of responses to a myeloma systemic anti-cancer therapy (SACT) treatment.	To be created
canshare-sact-all-disease-response	297811000210104	NZ SACT acute lymphoblastic leukemia disease response reference set	Types of responses to an acute lymphoblastic leukaemia systemic anti-cancer therapy (SACT) treatment.	To be created
canshare-sact-mds-disease-response	297851000210100	NZ SACT myelodysplastic syndrome disease response reference set	Types of responses to a myelodysplastic syndrome systemic anti-cancer therapy (SACT) treatment.	To be created
canshare-sact-cml-disease-response	297831000210106	NZ SACT chronic myeloid leukemia disease response reference set	Types of responses to a chronic myeloid leukaemia systemic anti-cancer therapy (SACT) treatment.	To be created
canshare-sact-cll-sll-disease-response	297841000210103	NZ SACT chronic lymphocytic leukemia and/or small lymphocytic lymphoma disease response reference set	Types of responses to a chronic lymphocytic leukaemia and/or small lymphocytic lymphoma systemic anti-cancer therapy (SACT) treatment.	To be created
canshare-sact-non-small-lymphocytic-disease-response	297861000210102	NZ SACT lymphoma (non small lymphocytic) disease response reference set	Types of responses to a non-small lymphocytic systemic anti-cancer therapy (SACT) treatment.	To be created
canshare-sact-amyloidosis-disease-response	302971000210109	NZ SACT amyloidosis disease response reference set	Types of responses to an amyloidosis systemic anti-cancer therapy (SACT) treatment.	To be created
canshare-sact-er-expression	303001000210107	NZ SACT ER expression reference set	A diagnosis of whether or not a tumour is estrogen receptive (ER).	To be created
canshare-sact-pr-expression	302991000210108	NZ SACT PR expression reference set	A diagnosis of whether or not a tumour is progesterone receiptive (PR).	To be created
canshare-sact-her2-expression	302981000210106	NZ SACT HER2 expression reference set	A diagnosis of the human epidermal growth factor receptor 2 (HER2) status of a tumour.	To be created
